First Normal Date	Last Normal Date	Log Count	Risk Based Priority (RBP)	Log Source Entity	Log Source Type	Classification	Common Event	Direction	Zone (Origin)	Zone (Impacted)	Entity (Origin)	Entity (Impacted)	Location (Origin)	Location (Impacted)	Network (Origin)	Network (Impacted)	Host (Origin)	Host (Impacted)	Known Host (Origin)	Known Host (Impacted)	IP Address (Origin)	IP Address (Impacted)	NAT IP Address (Origin)	NAT IP Address (Impacted)	MAC Address (Origin)	MAC Address (Impacted)	Interface (Origin)	Interface (Impacted)	Application	TCP/UDP Port (Origin)	TCP/UDP Port (Impacted)	NAT TCP/UDP Port (Origin)	NAT TCP/UDP Port (Impacted)	Protocol	Vendor Message ID	User (Origin)	User (Impacted)	Group	Domain Impacted	Sender	Recipient	Object	Object Name	URL	Command	Process Name	Process ID	Severity	Version	Host (Impacted) KBytes Rcvd	Host (Impacted) KBytes Sent	Host (Impacted) Packets Rcvd	Host (Impacted) Packets Sent	Reason	Result	Policy	Object Type	Hash	Response Code	Action	Session Type	CVE	Threat ID	Status	Serial Number	Parent Process Path	Parent Process Name	Parent Process ID	User Agent	Vendor Info	Threat Name	Domain Origin	Country (Origin)	Country (Impacted)	Region (Origin)	Region (Impacted)	HostName (Origin)	HostName (Impacted)	Known Application
2022-12-09 04:11:58 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49379	53	12408	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:03 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: California: Mountain View	VM Network		10.1.1.120	172.217.21.170			10.1.1.120	172.217.21.170	217.28.52.97	0.0.0.0			eth1		443\UDP	54936	443	10024	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:21 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50605	53	44863	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:22 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49852	53	15879	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:22 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	49560	53	37779	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:22 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	DC	Global Entity	Latvia: Riga: Riga	United States: California: San Francisco	VM Network		DC2 *	208.67.222.222	DC2		10.1.1.4	208.67.222.222	217.28.52.97	0.0.0.0			eth1		53\UDP	50240	53	27803	0	UDP	vpn-1 & firewall-1																									accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:25 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: California: San Jose	VM Network		10.1.1.165	192.111.5.0			10.1.1.165	192.111.5.0	217.28.52.97	0.0.0.0			eth1		443\TCP	62320	443	10036	0	TCP	vpn-1 & firewall-1	janis cimins (janis.cimins)																								accept													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:46 PM	2022-12-09 04:13:02 PM	4	19	Security	Syslog - Check Point Log Exporter	Network Deny	Traffic Denied by Network Firewall	Outbound	Internal	External	VirtualM	Global Entity	Latvia: Riga: Riga	United States: California: Palo Alto	VM Network		vc.internal *	208.91.0.89	vc.internal		10.1.1.23	208.91.0.89					eth1		443\TCP	53722	443			TCP	vpn-1 & firewall-1																									drop													Latvia	United States	Latvia: Riga	United States: California			
2022-12-09 04:12:49 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: North Carolina: Raleigh	VM Network		10.1.1.165	45.54.49.5			10.1.1.165	45.54.49.5	217.28.52.97	0.0.0.0			eth1		443\TCP	62356	443	10000	0	TCP	vpn-1 & firewall-1	janis cimins (janis.cimins)																								accept													Latvia	United States	Latvia: Riga	United States: North Carolina			
2022-12-09 04:12:49 PM	2022-12-09 04:13:02 PM	2	11	Security	Syslog - Check Point Log Exporter	Network Allow	Traffic Allowed by Network Firewall	Outbound	Internal	External	iPro	Global Entity	Latvia: Riga: Riga	United States: North Carolina: Raleigh	VM Network		10.1.1.165	45.54.49.1			10.1.1.165	45.54.49.1	217.28.52.97	0.0.0.0			eth1		443\TCP	62358	443	10000	0	TCP	vpn-1 & firewall-1	janis cimins (janis.cimins)																								accept													Latvia	United States	Latvia: Riga	United States: North Carolina			
